Word,Substitute,Frequency,Length
ಸುಂಯ್‌/ಗುರ್‌ರ್‌ವೌ/ಗುರ್‌ರ್‌ವೌ/ಗುರ್‌ರ್‌ವೌ/ಗುರ್‌ರ್‌ವೌ,Delete,1,50
ರೊಟ್ಟಿತಿಂಡಿ/ಪಾನೀಯಢೋಕ್ಲಾಮಜ್ಜಿಗೆಹುರಿದಕಾಳು/ಪಾಪ್‌,ರೊಟ್ಟಿತಿಂಡಿ ಪಾನೀಯಢೋಕ್ಲಾ ಮಜ್ಜಿಗೆ ಹುರಿದಕಾಳಪಾಪ್‌,1,45
ರ್‌ರ್‌ರ್‌ರ್‌ರ್‌ಕೀಳಈಈಫರ್‌ಕೀಠಈರ್‌ರ್‌ರ್‌ರ್‌,Delete,1,40
ಐದನ್ನುನೋಡಿದೆಯಾಫ್ರುಂಫ್ರುಂಫ್ರುಂನೀವುಕಂಡಿರಾ,ಐದನ್ನು ನೋಡಿದೆಯಾ ಫ್ರುಂಫ್ರುಂಫ್ರುಂ ನೀವು ಕಂಡಿರಾ,1,39
ರೈಲ್ವೆನಿಲ್ದಾಣದಲ್ಲಿಓಡಾಡುತ್ತಿರುತ್ತದೆಒಂದು,ರೈಲ್ವೆ ನಿಲ್ದಾಣದಲ್ಲಿ ಓಡಾಡುತ್ತಿರುತ್ತದೆ ಒಂದು,1,38
ಕಾಣೆಯಾಗಿತ್ತುಬಿಚ್ಚಿಕೊಂಡರೆಹೊಲಿಯಿರಿಕಳೆದರೆ,ಕಾಣೆಯಾಗಿತ್ತು ಬಿಚ್ಚಿಕೊಂಡರೆ ಹೊಲಿಯಿರಿ ಕಳೆದರೆ,1,38
ಪ್ರೊಟೀನ್‌ಗಳಿರುತ್ತವೆಕಾರ್ಬೋಹೈಡ್ರೇಟ್‌ಗಳು,ಪ್ರೊಟೀನ್‌ಗಳಿರುತ್ತವೆ ಕಾರ್ಬೋಹೈಡ್ರೇಟ್‌ಗಳು,1,37
ಅಲ್ಲಾಡಿಸುತ್ತಸ್ವಾಗತಿಸುತ್ತದೆಕ್ಯಾಪ್ಟನ್‌,ಅಲ್ಲಾಡಿಸುತ್ತ ಸ್ವಾಗತಿಸುತ್ತದೆ ಕ್ಯಾಪ್ಟನ್‌,1,36
ಪ್ರಾಣಿಗಳುನಿದ್ರಿಸುತ್ತಿದ್ದವುಟಿಂಕುನನ್ನು,ಪ್ರಾಣಿಗಳು ನಿದ್ರಿಸುತ್ತಿದ್ದವು ಟಿಂಕು ನನ್ನು,1,36
ಮಕ್ಕಳನ್ನುಕೂರಿಸಿಕೊಳ್ಳುತ್ತದೆಕಾಳಿಯನ್ನು,ಮಕ್ಕಳನ್ನು ಕೂರಿಸಿ ಕೊಳ್ಳುತ್ತದೆ ಕಾಳಿಯನ್ನು,1,35
