Original,Tokenized,Cleaned,Length,Structure
अंक,"['अ', 'क']",अक,2,VC
अंग,"['अ', 'ग']",अग,2,VC
अंड,"['अ', 'ड']",अड,2,VC
अंत,"['अ', 'त']",अत,2,VC
अंब,"['अ', 'ब']",अब,2,VC
अंश,"['अ', 'श']",अश,2,VC
अग,"['अ', 'ग']",अग,2,VC
अग्र,"['अ', 'ग', '्', 'र']",अग्र,4,VCC
अज,"['अ', 'ज']",अज,2,VC
अट,"['अ', 'ट']",अट,2,VC
अड़,"['अ', 'ड', '़']",अड़,3,VC
अन्न,"['अ', 'न', '्', 'न']",अन्न,4,VCC
अन्य,"['अ', 'न', '्', 'य']",अन्य,4,VCC
अप,"['अ', 'प']",अप,2,VC
अब,"['अ', 'ब']",अब,2,VC
अम्ल,"['अ', 'म', '्', 'ल']",अम्ल,4,VCC
अर,"['अ', 'र']",अर,2,VC
अर्थ,"['अ', 'र', '्', 'थ']",अर्थ,4,VCC
अश,"['अ', 'श']",अश,2,VC
अहं,"['अ', 'ह']",अह,2,VC
आ,['आ'],आ,1,V
आंख,"['आ', 'ख']",आख,2,VC
आंच,"['आ', 'च']",आच,2,VC
आंह,"['आ', 'ह']",आह,2,VC
आक,"['आ', 'क']",आक,2,VC
आग,"['आ', 'ग']",आग,2,VC
आज,"['आ', 'ज']",आज,2,VC
आठ,"['आ', 'ठ']",आठ,2,VC
आड़,"['आ', 'ड', '़']",आड़,3,VC
आत्म,"['आ', 'त', '्', 'म']",आत्म,4,VCC
आद,"['आ', 'द']",आद,2,VC
आध,"['आ', 'ध']",आध,2,VC
आन,"['आ', 'न']",आन,2,VC
आप,"['आ', 'प']",आप,2,VC
आम,"['आ', 'म']",आम,2,VC
आय,"['आ', 'य']",आय,2,VC
आर,"['आ', 'र']",आर,2,VC
आर्त,"['आ', 'र', '्', 'त']",आर्त,4,VCC
आव,"['आ', 'व']",आव,2,VC
आस,"['आ', 'स']",आस,2,VC
आह,"['आ', 'ह']",आह,2,VC
इंग,"['इ', 'ग']",इग,2,VC
इंच,"['इ', 'च']",इच,2,VC
इंद्र,"['इ', 'द', '्', 'र']",इद्र,4,VCC
इक,"['इ', 'क']",इक,2,VC
इज,"['इ', 'ज']",इज,2,VC
इत्र,"['इ', 'त', '्', 'र']",इत्र,4,VCC
इन,"['इ', 'न']",इन,2,VC
इर्द,"['इ', 'र', '्', 'द']",इर्द,4,VCC
इस,"['इ', 'स']",इस,2,VC
इस्,"['इ', 'स', '्']",इस्,3,VC
ई,['ई'],ई,1,V
ईंट,"['ई', 'ट']",ईट,2,VC
ईद,"['ई', 'द']",ईद,2,VC
ईश,"['ई', 'श']",ईश,2,VC
उँह,"['उ', 'ह']",उह,2,VC
उग,"['उ', 'ग']",उग,2,VC
उग्र,"['उ', 'ग', '्', 'र']",उग्र,4,VCC
उठ,"['उ', 'ठ']",उठ,2,VC
उड,"['उ', 'ड']",उड,2,VC
उड़,"['उ', 'ड', '़']",उड़,3,VC
उध्म,"['उ', 'ध', '्', 'म']",उध्म,4,VCC
उन,"['उ', 'न']",उन,2,VC
उफ,"['उ', 'फ']",उफ,2,VC
उफ़,"['उ', 'फ', '़']",उफ़,3,VC
उफ्फ,"['उ', 'फ', '्', 'फ']",उफ्फ,4,VCC
उम्र,"['उ', 'म', '्', 'र']",उम्र,4,VCC
उर,"['उ', 'र']",उर,2,VC
उस,"['उ', 'स']",उस,2,VC
उ़ड,"['उ', '़', 'ड']",उ़ड,3,VVC
उ़फ,"['उ', '़', 'फ']",उ़फ,3,VVC
उाफ,"['उ', 'ा', 'फ']",उाफ,3,VVC
ऊं,['ऊ'],ऊ,1,V
ऊंघ,"['ऊ', 'घ']",ऊघ,2,VC
ऊंच,"['ऊ', 'च']",ऊच,2,VC
ऊंट,"['ऊ', 'ट']",ऊट,2,VC
ऊख,"['ऊ', 'ख']",ऊख,2,VC
ऊन,"['ऊ', 'न']",ऊन,2,VC
ऊब,"['ऊ', 'ब']",ऊब,2,VC
ऊव,"['ऊ', 'व']",ऊव,2,VC
ऊश,"['ऊ', 'श']",ऊश,2,VC
ऋण,"['ऋ', 'ण']",ऋण,2,VC
ए,['ए'],ए,1,V
एंड,"['ए', 'ड']",एड,2,VC
एक,"['ए', 'क']",एक,2,VC
एट,"['ए', 'ट']",एट,2,VC
एम,"['ए', 'म']",एम,2,VC
एल,"['ए', 'ल']",एल,2,VC
एव,"['ए', 'व']",एव,2,VC
एस,"['ए', 'स']",एस,2,VC
एह,"['ए', 'ह']",एह,2,VC
ऐ,['ऐ'],ऐ,1,V
ऐंठ,"['ऐ', 'ठ']",ऐठ,2,VC
ऐड,"['ऐ', 'ड']",ऐड,2,VC
ऐब,"['ऐ', 'ब']",ऐब,2,VC
ऑन,"['ऑ', 'न']",ऑन,2,VC
ऑफ,"['ऑ', 'फ']",ऑफ,2,VC
ऑफ़,"['ऑ', 'फ', '़']",ऑफ़,3,VC
ऑल,"['ऑ', 'ल']",ऑल,2,VC
ओ,['ओ'],ओ,1,V
ओट,"['ओ', 'ट']",ओट,2,VC
ओम,"['ओ', 'म']",ओम,2,VC
ओय,"['ओ', 'य']",ओय,2,VC
ओर,"['ओ', 'र']",ओर,2,VC
ओस,"['ओ', 'स']",ओस,2,VC
ओह,"['ओ', 'ह']",ओह,2,VC
औ,['औ'],औ,1,V
और,"['औ', 'र']",और,2,VC
कंक,"['क', 'क']",कक,2,CVC
कंठ,"['क', 'ठ']",कठ,2,CVC
कंद,"['क', 'द']",कद,2,CVC
कंस,"['क', 'स']",कस,2,CVC
कक्ष,"['क', 'क', '्', 'ष']",कक्ष,4,CVCC
कच,"['क', 'च']",कच,2,CVC
कच्छ,"['क', 'च', '्', 'छ']",कच्छ,4,CVCC
